TotalCases,TotalDeaths,POPEST_2018_B_U18,POPEST_2018_B_18TO64,POPEST_2018_B_65PLUS,POPEST_2018_B_85PLUS,UNEMPLOYED,VETPOP_2019_65TO84,VETPOP_2019_85PLUS,VETPOP_2019_TOTAL,HOUSEHOLD_SIZE,HOUSING_UNITS,AREA_TOTAL,AREA_WATER,PER_AREA_WATER,DENSITY_POP,DENSITY_HOUSE,PER_OBESITY,PER_DIABETES,OVERCROWDING,PER_DRIVE_ALONE,PER_RURAL,POP_RURAL,PER_UNINSURED,PER_CHILD,PER_ADULT,PER_65PLUS,PER_85PLUS,MED_INCOME_2018,PER_COLLEGE_EDU,INCOME_RATIO,PER_UNEMPLOYED
16701,152,75645,224611,64030,8390,6107,8889.552377,2030.807166,22125.65337,2.46,151107,575.88,33.45,0.058085018,620.3,278.6,0.294,0.134,1.33275071,0.822943336,0.100222016,33721,0.11039994,0.207652778,0.616578732,0.17576849,0.023031354,53035,0.672714849,4.817357746,0.027189229
167,3,1362,3791,1396,126,103,171.227511,17.00043759,367.7537566,2.28,3624,223.49,1.15,0.005145644,30.7,16.3,0.328,0.16,1.636363636,0.821004566,1,6819,0.116408423,0.207970683,0.578867003,0.213162315,0.019239579,28990,0.381045752,4.985555477,0.027169612
2247,37,4939,15719,4562,469,459,712.7433453,80.06836165,1455.119441,2.43,10851,670.38,2.61,0.003893314,40.8,16.2,0.371,0.188,1.396973225,0.837247683,0.802076836,21859,0.122618352,0.195836638,0.623275178,0.180888184,0.018596352,38651,0.310086625,4.596751194,0.029200331
1781,25,5299,14522,5955,655,455,944.6747533,208.4601171,2055.621152,2.46,13946,596.29,18.98,0.03183015,45.1,24.2,0.324,0.138,2.665995976,0.831331539,0.679282256,17679,0.117572757,0.205578833,0.563392303,0.231028864,0.025411235,39798,0.50814974,4.790081282,0.031331772
1949,34,11240,33346,11944,1186,946,2260.729425,292.5878795,4676.100342,2.39,26870,499.6,12.62,0.025260208,116.7,55.2,0.322,0.162,1.586956522,0.898675744,0.578607499,32884,0.110825324,0.198832478,0.589881479,0.211286043,0.020980011,40335,0.454687867,4.376405758,0.02836922
1629,30,3855,10181,3299,413,414,474.1754309,96.58032592,1190.901703,2.47,8315,534.06,0.95,0.001778826,35.2,15.6,0.466,0.151,1.133947555,0.889285714,0.474157662,8908,0.113536187,0.222382463,0.587308913,0.190308624,0.023824632,38362,0.46144636,5.111439511,0.040663982
1851,33,6344,16373,5130,567,563,695.7707957,115.2396297,1711.705006,2.58,12776,525.88,5.81,0.011048148,53.4,24.6,0.329,0.173,2.898550725,0.866880228,0.76376535,21209,0.110897979,0.227816282,0.587962797,0.184220921,0.02036126,42430,0.470997336,4.528076664,0.034385879
1536,19,6638,18194,7526,763,595,1462.014824,229.8513769,3173.986855,2.37,17054,593.42,31.32,0.052778808,57.5,30.3,0.336,0.181,1.517956313,0.835302746,0.668481287,21612,0.111991548,0.205142469,0.562272081,0.23258545,0.023579949,40837,0.441940086,4.535649316,0.032703089
1182,19,5204,15458,4401,410,358,667.6085344,103.2042127,1685.496947,2.66,10311,612.63,0.13,0.0002122,40.3,16.8,0.321,0.169,3.105590062,0.785384777,1,24690,0.129479041,0.207636755,0.61676575,0.175597494,0.016358776,41998,0.388173581,4.544664809,0.023159529
587,20,1802,4765,1696,184,178,337.740168,43.23863863,712.7568712,2.7,4188,206.97,6.69,0.032323525,42.1,20.9,0.272,0.117,1.739130435,0.794817927,1,8426,0.125738265,0.2180806,0.57666707,0.20525233,0.022267941,43964,0.394980906,4.479872129,0.037355719
